"Name","tau","sigma0","adam_epsilon","n_step","env_runners/episode_len_mean","env_runners/episode_reward_max","env_runners/episode_reward_mean","env_runners/episode_reward_min","env_runners/episode_return_max","env_runners/episode_return_min","env_runners/episode_return_mean"
"DQN_ma-lander_c96ea_00029","0.4691403001727152","0.5441253975449306","8.407174612040578e-10","16","100.29","184.73057019035411","-288.1491797112613","-971.6524358952876","184.73057019035411","-971.6524358952876","-288.1491797112613"
"DQN_ma-lander_c96ea_00028","0.4962409434974865","0.045520400082731616","4.783027332032944e-10","4","2228.8","272.29951415255726","99.62896483927722","-52.21822100408353","272.29951415255726","-52.21822100408353","99.62896483927722"
"DQN_ma-lander_c96ea_00027","0.8095711622054037","0.4077427355698764","7.171644544450387e-9","1","2742.04","400.34324781154527","234.64256752245183","-411.6586023624416","400.34324781154527","-411.6586023624416","234.64256752245183"
"DQN_ma-lander_c96ea_00026","0.2311763322280035","0.6697036501155808","2.2971750645693476e-8","1","804.32","419.93094000149154","221.15920623423412","-195.2030464512335","419.93094000149154","-195.2030464512335","221.15920623423412"
"DQN_ma-lander_c96ea_00025","0.7700245857703626","0.5017280787954413","3.2859417113133774e-9","1","2740.01","378.3156915131883","193.80782458025595","-63.5719845050318","378.3156915131883","-63.5719845050318","193.80782458025595"
"DQN_ma-lander_c96ea_00024","0.6581158626416342","0.28263832493368213","1.3277448283442753e-7","2","2939.35","413.59979986078224","236.16868978228192","8.27233329061812","413.59979986078224","8.27233329061812","236.16868978228192"
"DQN_ma-lander_c96ea_00023","0.01300813093647657","0.2595719804861206","0.0000011822111567749097","1","1612.35","302.05351946714563","100.37004058935769","-206.86238129253215","302.05351946714563","-206.86238129253215","100.37004058935769"
"DQN_ma-lander_c96ea_00022","0.028174063900544444","0.9218003627504056","5.4353950373918366e-9","1","722.5","339.09463388207354","114.68551216090674","-123.0288234172158","339.09463388207354","-123.0288234172158","114.68551216090674"
"DQN_ma-lander_c96ea_00021","0.48229251912257665","0.6136885829159662","6.054628548040178e-9","1","1695.33","456.0628515661977","281.6335231938004","26.409668014033286","456.0628515661977","26.409668014033286","281.6335231938004"
"DQN_ma-lander_c96ea_00020","0.504569813947346","0.173473819204091","0.00002768248292451931","4","1176.77","351.11161578196527","82.67295214915339","-90.54577891247472","351.11161578196527","-90.54577891247472","82.67295214915339"
"DQN_ma-lander_c96ea_00019","0.39653446561538286","0.11227169486429096","0.0000010444720499776025","4","169.54","177.38305570043133","-289.26837989844637","-813.9436622345714","177.38305570043133","-813.9436622345714","-289.26837989844637"
"DQN_ma-lander_c96ea_00018","0.22752746811344804","0.46988579065983505","0.000008696095246098246","8","1525.67","142.02941527072232","51.97955141934355","-83.3686557111797","142.02941527072232","-83.3686557111797","51.97955141934355"
"DQN_ma-lander_c96ea_00017","0.08904633682691354","0.40073212119539303","5.132913011853407e-10","16","98.69","219.52517803860667","-291.905291206205","-982.8426898889178","219.52517803860667","-982.8426898889178","-291.905291206205"
"DQN_ma-lander_c96ea_00016","0.09891809400560914","0.6454140723084396","1.863246047023264e-9","8","1854.44","221.61124632287812","60.062901608054545","-62.590902767656296","221.61124632287812","-62.590902767656296","60.062901608054545"
"DQN_ma-lander_c96ea_00015","0.755089615719138","0.37988957371833176","1.0447688558066962e-9","16","223.14","406.1879030159519","69.75220478193019","-110.39310686362298","406.1879030159519","-110.39310686362298","69.75220478193019"
"DQN_ma-lander_c96ea_00014","0.07208500103129112","0.6105919496700322","0.00003261415819049256","8","129.26","106.39835631082671","-309.51321436313816","-724.4822271555299","106.39835631082671","-724.4822271555299","-309.51321436313816"
"DQN_ma-lander_c96ea_00013","0.7387755266246762","0.454769248921334","5.008962397216348e-9","4","1648.36","399.00961787413866","151.0916821296498","-21.489157461170805","399.00961787413866","-21.489157461170805","151.0916821296498"
"DQN_ma-lander_c96ea_00012","0.5984591043154308","0.885125745803495","0.00007905225709643937","8","2214.44","286.38998093020234","85.25454448506875","-124.85360679299067","286.38998093020234","-124.85360679299067","85.25454448506875"
"DQN_ma-lander_c96ea_00011","0.24333061916108112","0.2732349696663862","7.326580204758185e-10","1","1065.08","383.2504619864895","236.11897582532973","76.22199299730815","383.2504619864895","76.22199299730815","236.11897582532973"
"DQN_ma-lander_c96ea_00010","0.6174216410652121","0.4096784578047125","2.6371635345902567e-9","8","1848.85","372.7105401390584","173.9979480807107","-54.63294214332074","372.7105401390584","-54.63294214332074","173.9979480807107"
"DQN_ma-lander_c96ea_00009","0.6974136389482337","0.785229350756413","4.5273589940850283e-7","1","2357.95","368.2323821137792","202.37566213328347","-34.66623512372306","368.2323821137792","-34.66623512372306","202.37566213328347"
"DQN_ma-lander_c96ea_00006","0.23321724501010888","0.24874441195761576","0.0000036417337534869247","1","1223.42","382.8688274839118","184.1162989761829","40.2405467724139","382.8688274839118","40.2405467724139","184.1162989761829"
"DQN_ma-lander_c96ea_00005","0.3604698374300318","0.5751895707458972","4.9724551649112765e-9","8","1840.79","195.90972376997817","43.799393359892136","-53.47586539810862","195.90972376997817","-53.47586539810862","43.799393359892136"
"DQN_ma-lander_c96ea_00004","0.061279421040289384","0.29264032011876195","1.3148053822033264e-8","1","481.91","381.6318040565822","201.22569758820333","-14.760029496083956","381.6318040565822","-14.760029496083956","201.22569758820333"
"DQN_ma-lander_c96ea_00003","0.44599205539826614","0.7221758746351317","2.8179869668300293e-9","4","1242.03","297.938209204906","59.17286049414788","-45.19489464974899","297.938209204906","-45.19489464974899","59.17286049414788"
"DQN_ma-lander_c96ea_00002","0.7769550096032416","0.6792073253414904","7.612950264425907e-10","1","2845.49","397.04035013389097","224.3047924507904","-93.28332485574728","397.04035013389097","-93.28332485574728","224.3047924507904"
"DQN_ma-lander_c96ea_00001","0.696239012858394","0.8274433256199517","0.000006831593390610127","1","2365.81","420.2774019075193","267.63974965542076","37.370806223801715","420.2774019075193","37.370806223801715","267.63974965542076"
"DQN_ma-lander_c96ea_00000","0.16765988442400348","0.14390076492056392","3.862210560312805e-7","4","2329.8","369.41189481208767","102.05709986950222","-146.8256660647392","369.41189481208767","-146.8256660647392","102.05709986950222"